Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
BNY MELLON - PRUDENCIAL;1000080910;b1;C;3;RIO DE JANEIRO;RJ;12/2025;Sim;Não;1.021.632;0;S4;1
BOA VIAGEM SCC LTDA. - PRUDENCIAL;1000082080;n2;I;2;RECIFE;PE;12/2025;Não;Não;6.381;0;S4;3
BOCOM - PRUDENCIAL;1000084624;b1;C;3;SALVADOR;BA;12/2025;Sim;Não;31.320.941;2.422.568;S3;1
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;50.522.110;0;S3;1
BONUSPAGO SCD - PRUDENCIAL;1000085128;n1;I;2;CASCAVEL;PR;12/2025;Não;Sim;26.196;0;S5;1
BPCE EQUIPMENT AM - PRUDENCIAL;1000088390;n1;I;3;BARUERI;SP;12/2025;Não;Não;1.178.711;0;S4;1
BPY CCTVM - PRUDENCIAL;1000084765;n2;I;2;SAO PAULO;SP;12/2025;Não;Não;32.137;0;S4;3
BR PARTNERS - PRUDENCIAL;1000080934;b2;C;2;SAO PAULO;SP;12/2025;Sim;Não;4.642.356;0;S4;1
BR-CAPITAL DTVM S.A. - PRUDENCIAL;1000083814;n2;I;2;SAO PAULO;SP;12/2025;Não;Não;6.510;0;S4;3
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;12/2025;Sim;Não;2.141.573.090;30.166.799;S1;1
BRASIL CASH IP - PRUDENCIAL;1000087566;n4;I;2;BARUERI;SP;12/2025;Não;Sim;34.215;0;NA;2
BRAZA BANK BCO CÂMBIO - PRUDENCIAL;1000081294;b2;I;2;CURITIBA;PR;12/2025;Sim;Não;120.481;0;S4;1
BRB - PRUDENCIAL;1000080288;b1;C;1;BRASILIA;DF;12/2025;NI;NI;NI;NI;S3;1
BRCARD SCD - PRUDENCIAL;1000085159;n1;I;2;CALDAS NOVAS;GO;12/2025;Não;Sim;2.233;0;S5;1
BRCONDOS SCD - PRUDENCIAL;1000086921;n1;I;2;JOINVILLE;SC;12/2025;Não;Sim;5.405;0;S5;1
BRINKS PAY IP - PRUDENCIAL;1000086811;n4;I;3;SAO PAULO;SP;12/2025;NI;NI;200.747;0;NA;2
BROKER BRASIL CC LTDA. - PRUDENCIAL;1000082372;n2;I;2;SAO PAULO;SP;12/2025;Não;Não;25.379;0;S4;3
BRX SCC LTDA. - PRUDENCIAL;1000082413;n2;I;2;RIO DE JANEIRO;RJ;12/2025;Não;Não;7.351;0;S4;3
BS2 - PRUDENCIAL;1000080422;b1;C;2;BELO HORIZONTE;MG;12/2025;Sim;Não;7.735.711;34.023;S3;1
BSN PAGAMENTOS IP - PRUDENCIAL;1000087841;n4;I;2;GUARULHOS;SP;12/2025;Não;Sim;37.111;0;NA;2
BT CC - PRUDENCIAL;1000081995;n2;I;2;SAO PAULO;SP;12/2025;Não;Sim;55.617;0;S5;3
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;844.293.683;28.848.539;S1;1
BULLLA IP - PRUDENCIAL;1000084985;n1;C;2;SAO PAULO;SP;12/2025;Não;Não;710.972;0;S4;3
C&A PAY SCD - PRUDENCIAL;1000086787;n1;I;3;BARUERI;SP;12/2025;Não;Sim;260.296;0;S5;1
CACTVS IP - PRUDENCIAL;1000088792;n4;I;2;SAO PAULO;SP;12/2025;Não;Sim;169.444;0;NA;2
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;12/2025;Sim;Não;2.376.207.699;0;S1;1
CAIXA GERAL - PRUDENCIAL;1000080927;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;1.260.094;0;S4;1
CALCARD IP - PRUDENCIAL;1000088170;n1;C;2;PALHOCA;SC;12/2025;Não;Não;632.673;0;S4;3
CAPITAL CONSIG SCD - PRUDENCIAL;1000085599;n1;I;2;SAO PAULO;SP;12/2025;NI;NI;64.452;0;S5;1
CAPPTA IP - PRUDENCIAL;1000087827;n4;I;2;SAO PAULO;SP;12/2025;Não;Sim;275.233;0;NA;2
CAROL DTVM LTDA. - PRUDENCIAL;1000084095;n2;I;2;SAO PAULO;SP;12/2025;Não;Sim;3.782;0;S5;3
CARTOS SCD - PRUDENCIAL;1000084442;n1;C;2;SAO PAULO;SP;12/2025;NI;NI;NI;NI;S5;1
CARUANA SCFI - PRUDENCIAL;1000083591;n1;I;2;SAO PAULO;SP;12/2025;Não;Não;1.110.255;0;S4;1
CASA CREDITO S.A. SCM - PRUDENCIAL;1000083175;n1;I;2;SAO PAULO;SP;12/2025;Não;Sim;4.713;0;S5;1
CATÁLISE DTVM PRUDENCIAL;1000086952;n2;I;2;CURITIBA;PR;12/2025;Não;Não;2.320;0;S4;3
CBSF DTVM - PRUDENCIAL;1000085111;n2;C;2;SAO PAULO;SP;12/2025;NI;NI;NI;NI;S4;3
CC AÇORIANA LTDA. - PRUDENCIAL;1000082341;n2;I;2;MANAUS;AM;12/2025;Não;Sim;11.583;0;S5;3
CDC SCD - PRUDENCIAL;1000083326;n1;I;2;BELO HORIZONTE;MG;12/2025;Não;Sim;28.300;0;S5;1
CELCOIN IP - PRUDENCIAL;1000085960;n4;C;3;BARUERI;SP;12/2025;Não;Não;1.686.955;0;NA;2
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP;62931522;b3C;I;2;SAO PAULO;SP;12/2025;Sim;Não;1.746.996;NI;S4;1
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE;70116611;b3C;I;2;JOAO PESSOA;PB;12/2025;Sim;Não;1.509.905;NI;S4;1
CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;106180;b3C;I;2;CUIABA;MT;12/2025;Sim;Não;1.652.751;NI;S4;1
